seqnames	start	end	width	strand	score	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr10	74966925	74967001	77	*	75	X013	14687	74967177	75016907	49731	+	175	upstream	175	Gnaz
chr10	74967417	74967540	124	*	75	X014	14687	74967177	75016907	49731	+	0	inside	239	Gnaz
chr10	78352503	78352504	2	*	44	X018	28169	78269178	78352489	83312	-	13	upstream	13	Agpat3
chr10	83337679	83337684	6	*	80	X026	338365	83230848	83337882	107035	-	0	inside	197	Slc41a2
chr11	52168459	52168596	138	*	194	X043	257871	52154722	52168159	13438	-	299	upstream	299	Olfr1372-ps1
chr11	69935641	69935782	142	*	440	X053	53422	69935796	69941605	5810	+	13	upstream	13	Ybx2
chr11	69936046	69936217	172	*	440	X054	53422	69935796	69941605	5810	+	0	inside	249	Ybx2
chr11	73018797	73018877	81	*	61	X056	100043309	73015856	73018841	2986	-	0	overlapStart	0	4732414G09Rik
chr11	73018797	73018877	81	*	61	X056	55984	73019008	73042073	23066	+	130	upstream	130	Camkk1
chr11	73018993	73019224	232	*	61	X057	100043309	73015856	73018841	2986	-	151	upstream	151	4732414G09Rik
chr11	73018993	73019224	232	*	61	X057	55984	73019008	73042073	23066	+	0	overlapStart	0	Camkk1
chr11	79591325	79591414	90	*	225	X063	268451	79591212	79698023	106812	+	0	inside	112	Rab11fip4
chr11	80300904	80301281	378	*	24	X065	246104	80300912	80355955	55044	+	0	overlapStart	0	Rhbdl3
chr11	88099439	88099624	186	*	103	X068	103841	88099146	88194140	94995	+	0	inside	292	Cuedc1
chr11	95514507	95514565	59	*	34	X069	104079	95509845	95514570	4726	-	0	inside	4	Nxph3
chr11	97413643	97413900	258	*	70	X070	58996	97415533	97502402	86870	+	1632	upstream	1632	Arhgap23
chr12	81780860	81780981	122	*	115	X083	338372	81721010	81781175	60166	-	0	inside	193	Map3k9
chr13	119428027	119428387	361	*	151	X104	218693	119428601	119458218	29618	+	213	upstream	213	Paip1
chr15	11063680	11063946	267	*	74	X120	239337	11064790	11349231	284442	+	843	upstream	843	Adamts12
chr15	80173237	80173435	199	*	102	X136	17309	80173721	80215519	41799	+	285	upstream	285	Mgat3
chr15	98496567	98497161	595	*	250	X147	258502	98497474	98498406	933	+	312	upstream	312	Olfr279
chr15	99224547	99224763	217	*	126	X150	16512	99224861	99242817	17957	+	97	upstream	97	Kcnh3
chr15	100636545	100636690	146	*	144	X153	207818	100621339	100636940	15602	-	0	inside	249	Smagp
chr15	101410776	101410922	147	*	49	X155	110310	101411103	101430313	19211	+	180	upstream	180	Krt7
chr16	4594984	4595022	39	*	54	X157	83396	4594713	4624924	30212	+	0	inside	270	Glis2
chr16	43980025	43980027	3	*	56	X170	332175	43965033	43979791	14759	-	233	upstream	233	Zdhhc23
chr17	25717359	25717371	13	*	180	X192	64337	25717171	25719406	2236	+	0	inside	187	Gng13
chr17	56140037	56140331	295	*	137	X208	20359	56123085	56140343	17259	-	0	inside	11	Sema6b
chr17	56476484	56476646	163	*	193	X209	19280	56412426	56476483	64058	-	0	upstream	0	Ptprs
chr17	84792389	84792493	105	*	64	X216	72416	84705247	84790789	85543	-	1599	upstream	1599	Lrpprc
chr19	7056789	7057111	323	*	81	X239	107227	7056810	7198057	141248	+	0	overlapStart	0	Macrod1
chr19	7421135	7421551	417	*	122	X240	102466781	7422573	7422642	70	+	1021	upstream	1021	Mir6991
chr19	7422329	7422595	267	*	49	X242	102466781	7422573	7422642	70	+	0	overlapStart	0	Mir6991
chr19	41830269	41830580	312	*	185	X249	14296	41829970	41832583	2614	+	0	inside	298	Frat1
chr19	47178802	47178837	36	*	216	X253	18011	47178820	47259441	80622	+	0	overlapStart	0	Neurl1a
chr2	26122434	26122554	121	*	55	X272	67991	26055535	26122818	67284	-	0	inside	263	Nacc2
chr2	93334366	93334462	97	*	62	X291	241556	93201760	93334505	132746	-	0	inside	42	Tspan18
chr2	93334589	93334757	169	*	62	X292	241556	93201760	93334505	132746	-	83	upstream	83	Tspan18
chr2	104494717	104494717	1	*	154	X293	15259	104426481	104494446	67966	-	270	upstream	270	Hipk3
chr2	148864395	148864827	433	*	224	X297	77705	148846711	148865038	18328	-	0	inside	210	Cstdc2
chr2	152081717	152081777	61	*	254	X298	545474	152081529	152095802	14274	+	0	inside	187	Scrt2
chr2	153530424	153530586	163	*	193	X301	329540	153407462	153529971	122510	-	452	upstream	452	Nol4l
chr2	167190481	167190606	126	*	103	X306	16500	167095969	167190155	94187	-	325	upstream	325	Kcnb1
chr2	172940032	172940372	341	*	318	X310	12162	172868012	172940321	72310	-	0	overlapStart	0	Bmp7
chr2	181459718	181459757	40	*	113	X311	72147	181387762	181459426	71665	-	291	upstream	291	Zbtb46
chr3	104961872	104961957	86	*	47	X322	22414	104945272	104961921	16650	-	0	overlapStart	0	Wnt2b
chr3	108536302	108536543	242	*	71	X323	229722	108455694	108536536	80843	-	0	overlapStart	0	Elapor1
chr3	108536302	108536543	242	*	71	X323	75504	108537534	108544723	7190	+	990	upstream	990	1700013F07Rik
chr3	138742070	138742118	49	*	68	X325	56224	138742195	138907905	165711	+	76	upstream	76	Tspan5
chr4	120287470	120287621	152	*	157	X351	329934	120267079	120287349	20271	-	120	upstream	120	Foxo6
chr4	124894649	124894945	297	*	262	X353	73628	124890888	124894782	3895	-	0	overlapStart	0	1700125G02Rik
chr4	127168918	127168996	79	*	84	X354	242667	127169204	127237022	67819	+	207	upstream	207	Dlgap3
chr4	130792700	130792785	86	*	147	X359	20970	130792537	130826319	33783	+	0	inside	162	Sdc3
chr4	138454060	138454146	87	*	88	X364	66259	138454314	138460123	5810	+	167	upstream	167	Camk2n1
chr4	148130840	148131143	304	*	75	X366	70433	148098437	148130698	32262	-	141	upstream	141	Draxin
chr4	148130840	148131143	304	*	75	X366	71890	148130915	148145699	14785	+	0	overlapStart	0	Mad2l2
chr4	151933425	151933524	100	*	253	X368	230935	151933691	151982137	48447	+	166	upstream	166	Dnajc11
chr5	30588224	30588547	324	*	151	X375	100502829	30573987	30588619	14633	-	0	inside	71	Gm9899
chr5	30588224	30588547	324	*	151	X375	16527	30588170	30625271	37102	+	0	inside	53	Kcnk3
chr5	73006838	73007100	263	*	169	X379	231290	73006883	73012955	6073	+	0	overlapStart	0	Slc10a4
